S_HN,I_HN,R_HN
699.000000000000000,0.000000000000000,0.000000000000000
698.916119999999978,0.083880000000000,0.000000000000000
698.647862014821612,0.326973985178400,0.025164000000000
697.919714062793219,0.957029741653275,0.123256195553520
696.098728131088933,2.490906750861610,0.410365118049502
691.771615176599767,6.070747680092324,1.157637143307985
681.882356815444268,14.138781737220080,2.978861447335682
660.136797034464280,31.642706997034015,7.220495968501706
614.719898665107394,67.566793267280673,16.713308067611909
527.666545783212882,134.350108168990971,36.983346047796111
385.157432820246925,236.554188681259632,77.288378498493401
210.520845568300359,340.224519328828251,148.254635102871305
79.159450619444812,369.518558479035335,250.321990901519769
26.954035992386061,310.868405562383487,361.177558445230375
12.189427594927201,232.372492291127287,454.438080113945432
7.233952261495721,167.616219937220592,524.149827801283664
5.122944187774966,119.442362029775182,574.434693782449813
4.061385504068465,84.671212104549113,610.267402391382348
3.466334944492561,59.864899032760292,635.668766022747036
3.107939330634196,42.263824936790570,653.628235732575149
2.881393509607751,29.811223276779849,666.307383213612297
2.733396565329999,21.015853238023645,675.250750196646209
2.634497104523344,14.809996727423208,681.555506168053284
2.567360763359110,10.434134050360480,685.998505186280227
2.521284972757207,7.349969625854241,689.128745401388414
2.489420387141576,5.176843323713600,691.333736289144667
2.467265491346245,3.645945222394851,692.886789286258704
2.451803575172943,2.567623571849698,693.980572852977161
2.440984163853359,1.808155911614372,694.750859924532051
2.433399256222672,1.273294045760748,695.293306698016409
2.428074934128988,0.896630154126208,695.675294911744686
2.424334020123961,0.631382021893373,695.944283957982520
2.421703919547262,0.444597515902060,696.133698564550514
2.419853947940370,0.313068232738334,696.267077819321116
2.418552288708366,0.220449422148837,696.360998289142572
2.417636220418023,0.155230663794529,696.427133115787228
2.416991416501439,0.109306268572754,696.473702314925617
2.416537499661078,0.076968304841289,696.506494195497453
2.416217934575942,0.054197378474038,696.529584686949875
2.415992942825397,0.038163156682371,696.545843900492059
2.415834529776349,0.026872622726708,696.557292847496797
2.415722990620051,0.018922375064994,696.565354634314758
2.415644453992854,0.013324199172692,696.571031346834275
2.415589154248754,0.009382239164985,696.575028606586102
2.415550215838603,0.006606505825641,696.577843278335649
2.415522797806347,0.004651972110204,696.579825230083316
2.415503491622068,0.003275686661422,696.581220821716329
2.415489897283256,0.002306575001808,696.582203527714796
2.415480324884662,0.001624174899859,696.582895500215386
2.415473584507572,0.001143662806992,696.583382752685338
2.415468838284660,0.000805310187807,696.583725851527447
2.415465496238572,0.000567059177552,696.583967444583777
2.415463142940194,0.000399294722665,696.584137562336991
2.415461485866824,0.000281163379235,696.584257350753774
2.415460319039451,0.000197981192838,696.584341699767492
2.415459497418377,0.000139408456060,696.584401094125383
2.415458918874109,0.000098164463510,696.584442916662169
2.415458511492270,0.000069122506296,696.584472366001251
2.415458224634402,0.000048672612276,696.584493102753186
2.415458022643462,0.000034272819533,696.584507704536918
2.415457880411556,0.000024133205579,696.584517986382821
2.415457780258966,0.000016993396495,696.584525226344454
2.415457709736525,0.000011965899988,696.584530324363413
2.415457660078149,0.000008425788367,696.584533914133431
2.415457625111206,0.000005933018800,696.584536441869886
2.415457600489233,0.000004177735133,696.584538221775574
2.415457583151672,0.000002941752155,696.584539475096108
2.415457570943428,0.000002071434752,696.584540357621790
2.415457562346993,0.000001458600761,696.584540979052235
2.415457556293814,0.000001027073712,696.584541416632419
2.415457552031468,0.000000723213945,696.584541724754558
2.415457549030137,0.000000509251092,696.584541941718726
2.415457546916750,0.000000358589152,696.584542094494054
2.415457545428608,0.000000252500548,696.584542202070793
2.415457544380733,0.000000177798258,696.584542277820901
2.415457543642872,0.000000125196642,696.584542331160378
2.415457543123308,0.000000088157214,696.584542368719326
2.415457542757456,0.000000062075902,696.584542395166523
2.415457542499841,0.000000043710746,696.584542413789336
2.415457542318442,0.000000030778921,696.584542426902544
2.415457542190710,0.000000021672977,696.584542436136189
2.415457542100767,0.000000015261027,696.584542442638053
2.415457542037434,0.000000010746052,696.584542447216336
2.415457541992839,0.000000007566832,696.584542450440154
2.415457541961436,0.000000005328185,696.584542452710252
2.415457541939324,0.000000003751841,696.584542454308689
2.415457541923754,0.000000002641859,696.584542455434189
2.415457541912790,0.000000001860265,696.584542456226700
2.415457541905070,0.000000001309906,696.584542456784789
2.415457541899634,0.000000000922370,696.584542457177804
2.415457541895806,0.000000000649487,696.584542457454518
2.415457541893111,0.000000000457336,696.584542457649377
2.415457541891213,0.000000000322033,696.584542457786597
2.415457541889877,0.000000000226760,696.584542457883231
2.415457541888936,0.000000000159673,696.584542457951216
2.415457541888273,0.000000000112434,696.584542457999078
2.415457541887807,0.000000000079170,696.584542458032843
2.415457541887478,0.000000000055748,696.584542458056603
2.415457541887247,0.000000000039255,696.584542458073315
2.415457541887084,0.000000000027641,696.584542458085139
